"Status","Name","Duration in ms","Description"
"passed","xpinyin.test_pinyin.test_get_initial[\u82b3-F]","16",""
"passed","xpinyin.test_pinyin.test_get_initials[\u82b3\u82b3-F-F]","16",""
"failed","xpinyin.test_pinyin.test_get_pinyin[shenzhen-numbers-capitalize-shen1zhen]","44",""
"passed","xpinyin.test_pinyin.test_get_pinyin[\u6df1\u5733-marks-upper-SH\u0112N-ZH\xc8N]","17",""
"passed","xpinyin.test_pinyin.test_get_initials[\u82b3F-F-F]","15",""
"passed","xpinyin.test_pinyin.test_get_initial[F-F]","15",""
"passed","xpinyin.test_pinyin.test_get_pinyin[\u6df1\u5733-None-lower-shen-zhen]","17",""
"passed","xpinyin.test_pinyin.test_get_pinyin[\u6df1\u5733-numbers-capitalize-Shen1-Zhen4]","16",""
"passed","xpinyin.test_pinyin.test_get_pinyin_defult","18",""
"passed","xpinyin.test_pinyin.test_get_initials[F\u82b3-F-F]","15",""
"passed","xpinyin.test_pinyin.test_get_pinyin[\u6df1zhen-numbers-capitalize-Shen1-zhen]","16",""
"passed","xpinyin.test_pinyin.test_get_pinyin_split[*-ni*hao]","15",""
"passed","xpinyin.test_pinyin.test_get_pinyin_split[+-ni+hao]","15",""
